,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,r_hi,r_lo,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
1,17,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,16,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,1.96519347,0.0111119043,0.1964587079,0.08044224262,0.01534649832,0.004721341466,0.05479291248,0.0459647127,-68.38,74.94635148,95,-136,-35.4853262,40.12740731,69.21102687,-69.41995278,18.23,11.1380923,508.6271746,438.3410131,0.85,68,15,17,0
0,18,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5403004786,0.5550349338,23.6898615,6.525036371,0.9399478493,0.4337728425,1.038275583,1.027686741,27.52,90.83297639,92,-115,9.021981602,53.46669258,56.62992917,-77.80735125,11.48,3.185843687,446.2519404,159.0065445,1,31,0,69,0
1,18,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,4096,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.02753996681,0.03758990857,13.54138706,3.217443181,0.3994456381,0.2749058944,0.2005146389,0.2333146385,-48.48,94.24261032,95,-123,-24.53848813,55.24500925,69.21102687,-69.41995278,11.48,3.185843687,446.2519404,159.0065445,1,69,0,31,0
0,19,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5385475028,0.5141180564,22.47590681,6.41801434,0.9370352662,0.3572254021,1.124847996,0.8335488943,23.29,92.14274741,92,-121,5.682529298,54.34417014,56.62992917,-77.80735125,11.71,4.000737432,377.5771138,172.087906,1,33,0,67,0
1,19,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.1214370918,0.1096862513,7.714961215,2.150333403,0.2852305868,0.1945824687,0.157093651,0.1520226741,-44.71,96.07146246,95,-120,-21.2926109,56.57103916,69.21102687,-69.41995278,11.71,4.000737432,377.5771138,172.087906,1,67,0,33,0
0,20,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.4651037291,0.491337043,22.31862924,6.901526247,0.9900720481,0.4986568284,1.288592359,1.269669238,36.87,85.90537294,92,-117,13.64010267,50.89772023,56.62992917,-77.80735125,12.13,4.610108459,351.4268523,196.7852636,1,26,0,74,0
1,20,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,1024,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.300419501,0.1983536008,4.422582148,1.017308612,0.1663111058,0.08654077805,0.1065585256,0.07873256358,-59.13,89.74838773,95,-138,-29.64138887,52.66538795,69.21102687,-69.41995278,12.13,4.610108459,351.4268523,196.7852636,1,74,0,26,0
0,21,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.4659989021,0.4680063104,23.18995114,6.022328887,1.06821466,0.5239593427,1.378756066,1.601081465,50.2,77.13676166,92,-131,21.16194424,45.06283478,56.62992917,-77.80735125,12.8,4.783304297,352.9930323,180.4336441,1,19,0,81,0
1,21,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,0,512,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.6340001075,0.2586489829,2.420174764,0.5485464177,0.1077036575,0.05005266527,0.07343926065,0.04703103495,-73.8,80.04798561,95,-131,-37.85958932,46.41558087,69.21102687,-69.41995278,12.8,4.783304297,352.9930323,180.4336441,1,81,0,19,0
0,22,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5405960993,0.5136690009,22.97086749,6.264923564,1.216004796,0.6963510689,1.903155157,2.778914814,25.09,91.54005626,92,-133,9.029663222,49.22647947,56.62992917,-77.80735125,13.89,6.27358749,364.150178,231.4084207,0.98,30,2,68,0
