,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
1,66,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,0,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.968,1.3736724500403985,93.0,89.0,52.90889883697463,5.070201943176644,60.61045175468748,45.8432105195164,10.032,1.3736724500404018,0.0851708297729492,0.0192773333154608,1.0,0,0,250,0
0,9,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,3,2048,None,110.0,0.1,0.0810782044384946,0.1356898542317744,13.744292480256444,1.6246067264615849,0.8257335741595616,0.378509373299296,0.0957463686496492,0.1193991885927034,3.9,98.95963823701044,94.0,-107.0,-0.0894207661265262,70.4399228575753,64.80047553124997,-77.80735124999998,6.7,0.7280109889280518,97.68185140132904,15.671232397015514,1.0,113,0,137,0
1,9,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,3,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.3,100.1185796942806,95.0,-109.0,-9.5244023669469,71.27369257134714,69.21102687499999,-74.86698368749997,6.7,0.7280109889280518,97.68185140132904,15.671232397015514,1.0,137,0,113,0
0,56,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,128,None,110.0,0.1,1.3090926151146656,0.3089637516136394,0.7720547678856293,0.0308284956072972,0.0375698519017295,0.0205535284000188,0.013847404838629,0.0206707950086642,-77.996,67.47174211475497,92.0,-111.0,-59.87623110349567,43.25918875239164,56.6299291669531,-80.90247499999998,6.996,2.3366608654231364,5.712947800636291,2.0802067737150693,1.0,215,0,35,0
1,56,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,0,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.004,71.34762773911969,96.0,-116.0,50.00214676809906,45.813786206996696,73.85371249999997,-69.41995277796872,6.996,2.3366608654231364,5.712947800636291,2.0802067737150693,1.0,35,0,215,0
0,60,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,16,None,110.0,0.1,1.874731468151345,0.0649056744420495,0.0898269876135834,0.0148599556262027,0.0099926894446515,0.0023093329424733,0.0121288384981545,0.0057650183085813,55.548,59.77678224862894,94.0,-118.0,26.678689723707052,31.85467926596161,64.80047553124997,-69.41995277796872,14.464,4.078321223248605,1.4748208866119386,0.4963222282123385,0.812,15,47,188,0
1,60,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RandomPolicy,None,None,None,None,None,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.852,55.9212848207192,92.0,-119.0,-45.34492891114474,29.355671593597844,56.6299291669531,-74.86698368749997,14.464,4.078321223248605,1.4748208866119386,0.4963222282123385,0.812,188,47,15,0
0,113,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,2048,None,110.0,0.1,0.0512418317226949,0.072027348851197,1.4752236019259408,0.1477471308927893,0.0709171283396463,0.0599195546885523,0.0084800320258216,0.0100476228440091,93.9,0.3130495168499696,94.0,92.0,64.38231115834935,1.306655807636997,64.80047553124997,56.6299291669531,7.1,0.3130495168499705,11.014280303001405,1.4405574967297794,1.0,0,0,250,0
1,113,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.1,0.3130495168499696,-106.0,-108.0,-74.58820743889937,0.8711038717579991,-69.41995277796872,-74.86698368749997,7.1,0.3130495168499705,11.014280303001405,1.4405574967297794,1.0,250,0,0,0
0,46,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,1024,None,110.0,0.1,0.2736484842879468,0.1957956661301569,4.670818097601309,0.7481843667835095,0.5319932666963286,0.2258461769865506,0.2246815110087301,0.168939930063289,59.168,72.56811817871541,92.0,-111.0,32.2618321140291,49.379866258780986,56.6299291669531,-80.90247499999998,9.032,1.8085839764854716,46.80701628780365,11.872651806784598,1.0,41,0,209,0
